4 244 0 0.jpg
0	1	d	0	2000	0.2
1	1	f	0	2000	0.4
2	1	j	0	2000	0.6
3	1	k	0	2000	0.8
0	0	d	2467
1	0	f	2938
2	0	j	3391
3	0	k	3855
0	0	d	4087
3	0	k	4320
3	0	k	4546
2	0	j	4773
3	0	k	5005
3	0	k	5237
0	0	d	5472
0	0	d	5708
0	0	d	5932
3	1	k	6157	8922
0	1	d	6627	9398
2	1	j	7080	8003
1	1	f	7545	8468
3	0	k	9851
3	0	k	10316
2	0	j	10659
1	0	f	10774
2	0	j	10774
0	0	d	10890
0	0	d	11122
1	0	f	11467
0	0	d	11697
0	0	d	11923
1	0	f	12150
2	0	j	12382
3	0	k	12614
1	0	f	12825
2	0	j	12971
0	0	d	13091
0	0	d	13317
0	0	d	13543
0	0	d	14002
1	0	f	14341
2	0	j	14455
1	0	f	14571
3	0	k	14803
2	0	j	15151
3	0	k	15383
3	0	k	15615
2	0	j	15848
2	0	j	16078
1	0	f	16309
1	0	f	16539
0	0	d	16770
0	0	d	17000
0	0	d	17231
0	0	d	17461
0	0	d	17692
0	0	d	17923
0	0	d	18154
0	0	d	18385
0	0	d	18616
0	0	d	18847
0	0	d	19078
0	0	d	19309
0	0	d	19540
0	0	d	19771
0	0	d	20002
0	0	d	20233
0	0	d	20464
0	0	d	20695
3	0	k	20926
3	0	k	21157
3	0	k	21388
3	0	k	21619
3	0	k	21850
3	0	k	22081
3	0	k	22312
3	0	k	22543
3	0	k	22774
3	0	k	23005
3	0	k	23236
3	0	k	23467
3	0	k	23698
3	0	k	23929
3	0	k	24160
3	0	k	24391
3	0	k	17231
3	0	k	17692
2	0	j	17923
3	0	k	18154
3	0	k	18616
2	0	j	18847
2	0	j	19078
2	0	j	19309
2	0	j	19540
3	0	k	19771
3	0	k	20002
2	0	j	20233
2	0	j	20464
2	0	j	20695
0	0	d	20926
0	0	d	21388
1	0	f	21619
0	0	d	21850
0	0	d	22312
1	0	f	22543
1	0	f	22774
1	0	f	23005
1	0	f	23236
0	0	d	23466
1	0	f	23697
0	0	d	23928
0	0	d	24159
0	0	d	24390
0	1	d	24621	24852
3	1	k	24621	24852
1	0	f	25083
2	0	j	25314
0	1	d	25545	25776
3	1	k	25545	25776
2	0	j	26007
1	0	f	26238
0	0	d	26469
1	0	f	26700
2	0	j	26931
3	0	k	27162
3	0	k	27393
2	0	j	27624
2	0	j	27855
2	0	j	28086
0	1	d	28317	28548
3	1	k	28317	28548
1	0	f	28779
2	0	j	29010
0	1	d	29241	29471
3	1	k	29241	29471
2	0	j	29702
1	0	f	29933
0	1	d	30164	31550
3	1	k	30164	31550
1	0	f	30626
2	0	j	30857
1	0	f	31088
2	0	j	31319
1	0	f	31550
0	0	d	32012
2	0	j	32359
1	0	f	32474
3	0	k	32705
3	0	k	32936
1	0	f	33263
2	0	j	33398
0	0	d	33629
0	0	d	33860
3	0	k	33860
0	0	d	34091
3	0	k	34091
1	0	f	34322
2	0	j	34322
1	0	f	34553
2	0	j	34553
0	0	d	34784
3	0	k	34784
1	1	f	35015	35130
2	1	j	35015	35130
1	1	f	35246	35361
2	1	j	35246	35361
1	1	f	35476	35592
2	1	j	35476	35592
3	0	k	35707
1	0	f	36054
2	0	j	36169
0	0	d	36400
0	0	d	36631
2	0	j	36978
1	0	f	37093
3	0	k	37324
1	0	f	37555
2	0	j	37555
1	0	f	37786
2	0	j	37786
0	0	d	38017
3	0	k	38017
0	0	d	38248
3	0	k	38248
1	0	f	38479
2	0	j	38479
0	1	d	38710	38826
3	1	k	38710	38826
0	1	d	38941	39057
3	1	k	38941	39057
0	1	d	39172	39288
3	1	k	39172	39288
0	1	d	39403	42636
3	1	k	39865	41712
1	1	f	40327	41251
2	1	j	40789	42174
0	1	d	43098	43560
3	1	k	43098	43791
1	1	f	43098	44484
2	1	j	43098	44946
0	1	d	44022	46563
3	1	k	44715	46563
1	0	f	45408
2	0	j	45408
1	0	f	45870
2	0	j	45870
1	0	f	46101
2	0	j	46101
1	0	f	46332
2	0	j	46332
1	0	f	46563
2	0	j	46563
0	0	d	46794
2	0	j	46794
1	0	f	47250
3	0	k	47250
0	0	d	47717
2	0	j	47717
1	0	f	48179
3	0	k	48179
0	0	d	48633
2	0	j	48633
1	0	f	49086
3	0	k	49086
0	0	d	49558
2	0	j	49558
1	0	f	50013
3	0	k	50013
0	0	d	50496
2	0	j	50725
1	0	f	50955
3	0	k	51185
0	0	d	51415
2	0	j	51645
1	0	f	51875
3	0	k	52105
0	0	d	52335
2	0	j	52565
1	0	f	52795
3	0	k	53025
0	0	d	53275
3	0	k	53275
0	0	d	53524
3	0	k	53524
1	0	f	53723
2	0	j	53723
1	0	f	53948
2	0	j	53948






