4 145 78 0.PNG
0	1	d	0	2000	0.2
1	1	f	0	2000	0.4
2	1	j	0	2000	0.6
3	1	k	0	2000	0.8
0	0	d	2467
1	0	f	2938
2	0	j	3391
3	0	k	3855
0	0	d	4087
3	0	k	4320
3	0	k	4546
2	0	j	4773
3	0	k	5005
3	0	k	5237
0	0	d	5472
0	0	d	5708
0	0	d	5932
3	0	k	6157
2	0	j	6627
1	0	f	7080
0	0	d	7545
3	0	k	7777
0	0	d	8010
0	0	d	8236
1	0	f	8463
0	0	d	8695
0	0	d	8927
3	0	k	9162
3	0	k	9398
3	0	k	9622
0	0	d	9851
1	0	f	10316
2	0	j	10774
3	0	k	11238
0	0	d	11471
3	0	k	11704
3	0	k	11930
2	0	j	12157
3	0	k	12389
3	0	k	12621
0	0	d	12856
0	0	d	13092
0	0	d	13316
3	0	k	13543
2	0	j	14008
1	0	f	14466
0	0	d	14930
3	0	k	15163
0	0	d	15396
0	0	d	15622
1	0	f	15849
0	0	d	16081
0	0	d	16313
3	0	k	16548
3	0	k	16784
3	0	k	17008
1	0	f	17231
0	0	d	17693
3	0	k	17693
2	0	j	18155
0	0	d	18617
3	0	k	18617
0	0	d	19079
1	0	f	19541
2	0	j	20003
3	0	k	20464
2	0	j	20926
3	0	k	21388
0	0	d	21388
2	0	j	21850
3	0	k	22312
0	0	d	22312
3	0	k	22774
2	0	j	23236
1	0	f	23698
0	0	d	24159
0	0	d	24622
0	0	d	25084
1	0	f	25546
1	0	f	26008
2	0	j	26469
2	0	j	26931
3	0	k	27393
3	0	k	27855
1	0	f	28317
1	0	f	28779
2	0	j	29241
2	0	j	29703
3	0	k	30165
3	0	k	30627
0	0	d	31089
0	0	d	31551
0	0	d	32012
3	0	k	32012
0	0	d	32474
3	0	k	32474
1	0	f	32936
2	0	j	32936
1	0	f	33398
2	0	j	33398
0	0	d	33860
2	0	j	33860
0	0	d	34322
2	0	j	34322
1	0	f	34784
3	0	k	34784
1	0	f	35246
3	0	k	35246
0	1	d	35707	36169
3	1	k	36631	37093
0	0	d	37555
1	0	f	38017
2	0	j	38479
3	0	k	38941
3	1	k	39403	39865
0	1	d	40327	40789
3	0	k	41251
2	0	j	41712
1	0	f	42174
0	0	d	42636
0	1	d	43098	43560
1	1	f	44022	44484
2	1	j	44946	45408
3	1	k	45870	46332
0	0	d	46794
1	0	f	47250
2	0	j	47250
3	0	k	47717
2	0	j	48179
1	0	f	48179
0	0	d	48633
1	0	f	49806
2	0	j	49806
3	0	k	49558
2	0	j	50013
1	0	f	50013
0	0	d	50496
1	0	f	50955
2	0	j	50955
3	0	k	51425
2	0	j	51896
1	0	f	51896
0	0	d	52350
1	0	f	52807
2	0	j	52807
0	0	d	53275
1	0	f	53524
2	0	j	53723
3	0	k	53948
0	3	17231	17231	18	28	5
0	3	17461	17461	241	151	25
0	3	17692	17692	15	40	216
0	3	17923	17923	184	63	96
0	3	18154	18154	117	171	164
0	3	18385	18385	183	169	35
0	3	18616	18616	172	243	236
0	3	18847	18847	112	186	48
0	3	19078	19078	102	234	238
0	3	19309	19309	170	206	102
0	3	19540	19540	163	128	250
0	3	19771	19771	79	208	156
0	3	20002	20002	177	234	110
0	3	20233	20233	202	207	130
0	3	20464	20464	212	255	71
0	3	20695	20695	160	160	160
3	3	20926	20926	36	166	15
3	3	21157	21157	190	19	215
3	3	21388	21388	49	224	211
3	3	21619	21619	254	243	122
3	3	21850	21850	53	217	95
3	3	22081	22081	23	92	24
3	3	22312	22312	236	105	53
3	3	22543	22543	169	156	40
3	3	22774	22774	62	221	238
3	3	23005	23005	120	8	151
3	3	23236	23236	153	153	3
3	3	23467	23467	200	90	148
3	3	23698	23698	181	68	14
3	3	23929	23929	147	111	185
3	3	24160	24160	211	19	90
3	3	24391	24391	160	160	160
1	3	35015	35015	149	133	126
2	3	35015	35015	42	211	56
1	3	35246	35246	20	119	190
2	3	35246	35246	205	124	118
1	3	35476	35476	160	160	160
2	3	35476	35476	160	160	160
0	3	38710	38710	49	213	128
3	3	38710	38710	17	214	191
0	3	38941	38941	213	8	182
3	3	38941	38941	216	55	77
0	3	39172	39172	226	139	38
3	3	39172	39172	225	235	142
0	3	39403	39403	160	160	160
3	3	39865	39865	160	160	160
0	4	2467	1.PNG
0	4	4087	2.PNG
0	4	6157	3.PNG
0	4	8003	4.PNG
0	4	9851	5.PNG
0	4	12382	6.PNG
0	4	13543	7.PNG
0	4	15151	8.PNG
0	4	17231	0.PNG
0	4	29241	9.PNG
0	4	30164	10.PNG
0	4	30626	11.PNG
0	4	32012	12.PNG
0	4	32474	13.PNG
0	4	32936	14.PNG
0	4	33398	15.PNG
0	4	33860	16.PNG
0	4	34322	17.PNG
0	4	34784	18.PNG
0	4	35246	19.PNG
0	4	35707	20.PNG
0	4	36631	21.PNG
0	4	37093	22.PNG
0	4	37555	23.PNG
0	4	38017	24.PNG
0	4	38479	25.PNG
0	4	38941	26.PNG
0	4	39403	0.PNG
0	4	53275	27.PNG
0	4	53524	28.PNG
0	4	53723	29.PNG
0	4	53949	30.PNG

